,generation_MW,VRE_MW,emissions_tonCO2PerMWh,price_dollarsPerMWh,windspeed_ms
1/1/2019 0:00,77579.5,4931.5,0.341519432,18.03,3.073333
1/1/2019 1:00,76029.3,4542.4,0.34495249,17.77,2.165
1/1/2019 2:00,74834.2,4167.6,0.339041554,16.36,2.476667
1/1/2019 3:00,73693.6,3716.9,0.339041554,12.27,4.868333
1/1/2019 4:00,72887.3,3456.4,0.339041554,6.24,7.7
1/1/2019 5:00,72966.2,3166.2,0.339041554,9.28,10.031667
1/1/2019 6:00,73862.5,2646.2,0.350863427,16.35,10.518333
1/1/2019 7:00,74201,2505.3,0.350863427,11.69,9.741667
1/1/2019 8:00,75681.8,2404,0.356774363,17.92,10.003333
1/1/2019 9:00,78298.2,2444.5,0.368596237,19.1,9.615
1/1/2019 10:00,80588.5,2633.1,0.377940232,19.87,9.618333
1/1/2019 11:00,82853,2648.6,0.393195163,20.35,8.145
1/1/2019 12:00,83116.7,2475.4,0.393195163,20.38,8.155
1/1/2019 13:00,81697,2390.1,0.383851168,20.08,8.44
1/1/2019 14:00,81613.7,2177.1,0.383851168,20.28,7.923333
1/1/2019 15:00,81746.8,1786.7,0.38041811,20.67,7.273333
1/1/2019 16:00,83949,1370.4,0.395673041,23.6,5.708333
1/1/2019 17:00,90603,1178.8,0.41683891,27.61,5.441667
1/1/2019 18:00,92882.2,1141,0.426182905,28.53,7.893333
1/1/2019 19:00,92205,969.4,0.420271968,22.43,10.391667
1/1/2019 20:00,89796.9,705.4,0.41683891,23.69,10.663333
1/1/2019 21:00,90992.1,451.8,0.426182905,29.3,11.48
1/1/2019 22:00,86577.3,388.5,0.423705026,23.65,10.911667
1/1/2019 23:00,80406.9,312.1,0.405972217,19.13,11.725
1/2/2019 0:00,78745.5,312.8,0.393195163,21.21,10.83
1/2/2019 1:00,78960.1,308.2,0.389762105,21.03,12.398333
1/2/2019 2:00,78773.5,344.6,0.389762105,20.69,13.493333
1/2/2019 3:00,78748.9,302.7,0.389762105,20.51,12.443333
1/2/2019 4:00,79019,308.9,0.389762105,20,12.356667
1/2/2019 5:00,83983.7,318.1,0.407494915,21.45,13.256667
1/2/2019 6:00,91277.6,255.6,0.428660783,29.22,14.708333
1/2/2019 7:00,98058.5,221.5,0.453259709,29.69,13.481667
1/2/2019 8:00,98606.4,426.9,0.453259709,26.65,11.628333
1/2/2019 9:00,99449.3,788.5,0.443915714,29.1,9.383333
1/2/2019 10:00,101352.7,858.4,0.443915714,26.2,8.193333
1/2/2019 11:00,100934.6,1413.4,0.449826651,27.4,6.79
1/2/2019 12:00,99799.9,2321.2,0.443915714,38.29,6.388333
1/2/2019 13:00,100410.9,2812.1,0.434571719,26.18,5.466667
1/2/2019 14:00,100278.7,3239.4,0.440482656,25.07,5.013333
1/2/2019 15:00,99630.5,3994.6,0.425227724,24.32,4.693333
1/2/2019 16:00,102232.1,3918,0.431138661,30.03,4.353333
1/2/2019 17:00,107224.4,3957.1,0.425227724,30.36,3.548333
1/2/2019 18:00,108897.2,4129.3,0.428660783,27.72,2.996667
1/2/2019 19:00,106348,4239.6,0.434571719,27.18,1.326667
1/2/2019 20:00,105583.9,4053.8,0.428660783,26.08,1.891667
1/2/2019 21:00,100509.5,3987.7,0.434571719,23.82,1.876667
1/2/2019 22:00,95300.9,3881.5,0.413405851,23.09,2.463333
1/2/2019 23:00,89492,3341.6,0.410927973,22.02,2.168333
1/3/2019 0:00,85321.7,3361.7,0.389762105,20.8,2.718333
1/3/2019 1:00,82910.9,3045.3,0.38041811,20.34,2.375
1/3/2019 2:00,82910.9,3045.3,0.38041811,19.74,3.37
1/3/2019 3:00,82910.9,3045.3,0.38041811,19.78,3.72
1/3/2019 4:00,82910.9,3045.3,0.38041811,19.86,4.776667
1/3/2019 5:00,82910.9,3045.3,0.38041811,20.17,6.165
1/3/2019 6:00,82910.9,3045.3,0.38041811,22.44,6.933333
1/3/2019 7:00,82910.9,3045.3,0.38041811,24.13,7.97
1/3/2019 8:00,99169,2776.9,0.425227724,24.09,7.991667
1/3/2019 9:00,98276.2,2669.2,0.425227724,23.45,8.615
1/3/2019 10:00,99285.5,2521.7,0.431138661,23.67,8.206667
1/3/2019 11:00,98152.3,2410,0.431138661,22.18,9.075
1/3/2019 12:00,97375,2184.5,0.431138661,23.26,10.013333
1/3/2019 13:00,96322.3,2122.8,0.421794666,22.79,9.44
1/3/2019 14:00,95366.2,2790.7,0.421794666,20.03,9.298333
1/3/2019 15:00,94920.6,2780.9,0.412450671,21.43,9.271667
1/3/2019 16:00,96761.5,2771.9,0.412450671,21.52,10.121667
1/3/2019 17:00,102317.8,3180.4,0.412450671,24.01,10.251667
1/3/2019 18:00,106350.8,4570.7,0.415883729,23.44,10.455
1/3/2019 19:00,106108.6,4508.1,0.421794666,24.78,9.271667
1/3/2019 20:00,103990.3,5002.6,0.421794666,23.22,9.611667
1/3/2019 21:00,102067.3,4965.6,0.421794666,21.49,13.641667
1/3/2019 22:00,97583.8,5570.3,0.409972793,20.81,16.053333
1/3/2019 23:00,93219,4804,0.400628798,20.3,14.078333